OBJECTID,Report Number,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,x,y
70882,222821747,10/10/2022 4:07:50 AM,10/10/2022 2:32:00 AM,10/10/2022 3:30:00 AM,Sunday,1,5,501,924 NORTHSIDE DR NW,Highway/ Road/ Alley/ Street/ Sidewalk,520,Weapon Law Violations,SOCIETY,Y,,,Evening Watch,-84.407878,33.780372,Home Park,E,3,Part II,,aa64fb50-6788-42a1-8918-1a8c238cd99b,-84.407878,33.7803720000001
70883,222821781,10/10/2022 4:22:38 AM,10/10/2022 3:00:00 AM,10/10/2022 4:22:00 AM,Sunday,1,3,303,781 CENTRAL AVE SW,Residence/ Home / Apartment / Condo,120,Robbery,PROPERTY,Y,,,Morning Watch,-84.393721,33.733431,Mechanicsville,V,4,Part I,1,51ecf8c4-c890-4870-94ce-b1ff3266ec47,-84.393721,33.7334310000001
70884,222821821,10/10/2022 11:22:45 PM,10/9/2022 5:16:00 AM,10/10/2022 5:38:00 AM,Sunday,1,5,504,45 IVAN ALLEN JR BLVD NW,Hotel/ Motel/ Etc.,23H,All Other Larceny,PROPERTY,N,,,Morning Watch,-84.389385,33.765053,Downtown,M,2,Part I,1,e5be135c-ed3e-4b48-86b7-85542dfada50,-84.3893849999999,33.7650530000001
70885,222828038,10/10/2022 12:39:10 AM,10/9/2022 8:08:00 PM,10/9/2022 10:08:00 PM,Sunday,1,7,706,6000 N TERMINAL PKWY,Air/ Bus/ Train Terminal,520,Weapon Law Violations,SOCIETY,Y,,,Evening Watch,-84.444368,33.640311,,,,Part II,,65b3fcb1-7610-4ef7-a137-f5084a329b20,-84.4443679999999,33.6403110000001
70886,222830012,10/10/2022 6:09:13 AM,10/10/2022 4:00:00 AM,10/10/2022 4:10:00 AM,Monday,2,5,511,38 BROAD ST SW,Highway/ Road/ Alley/ Street/ Sidewalk,35A,Drug/Narcotic Violations,SOCIETY,N,,,Morning Watch,-84.392267,33.752965,Downtown,M,4,Part II,1,1f2afa78-6999-4df3-814b-65d547a3bbc6,-84.3922669999999,33.7529650000001
70887,222830023,10/10/2022 8:37:26 AM,10/10/2022 4:10:00 AM,10/10/2022 4:15:00 AM,Monday,2,1,111,3047 MIDDLETON RD NW,Residence/ Home / Apartment / Condo,13A,Aggravated Assault,PERSON,Y,,,Morning Watch,-84.489217,33.753697,,I,10,Part I,2,a536c062-18d3-43f5-931d-9d2516fbdc9d,-84.4892169999999,33.753697
70888,222830095,10/10/2022 6:53:47 AM,10/10/2022 5:19:00 AM,10/10/2022 5:19:00 AM,Monday,2,2,206,400 PHARR RD NE,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.374696,33.837128,Buckhead Village,B,7,Part II,1,56e2b029-ace9-461a-83a7-ab14dbba12e2,-84.374696,33.8371280000001
70889,222830102,10/10/2022 8:17:47 AM,10/10/2022 5:23:00 AM,10/10/2022 5:23:00 AM,Monday,2,5,503,132 10TH ST NE,Bar/ Nightclub,13B,Simple Assault,PERSON,N,,,Morning Watch,-84.382902,33.782216,Midtown,E,2,Part II,1,8e7192bb-0e7d-4088-bd3a-130e4e1ae987,-84.3829019999999,33.7822160000001
70890,222830123,10/10/2022 6:35:40 AM,10/9/2022 8:00:00 PM,10/10/2022 5:51:00 AM,Sunday,1,4,407,3395 TREADWELL CIR SW,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Evening Watch,-84.498859,33.753106,Adamsville,H,10,Part I,1,f6ae50de-2516-4c0d-b135-7cf3370abaa3,-84.498859,33.7531060000001
70891,222830216,10/10/2022 7:51:28 AM,10/10/2022 6:30:00 AM,10/10/2022 7:00:00 AM,Monday,2,3,303,505 FULTON ST SW,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.403291,33.741818,Mechanicsville,V,4,Part II,1,1419e1fc-9652-4e55-8f98-5292cce9c77b,-84.403291,33.741818
